"idseccion","cod_tienda","nombre_tienda","idseccion_zona","cod_zona","zona","idseccion_plaza","cod_plaza","plaza","idseccion_division","cod_division","division","estado","fecha_apertura","fecha_cierre","direccion_sbs","distrito","provincia","departamento","geoubicacion","centro_costos","n_resolucion_sbs","fecha_resolucion","cod_sbs","condicion","tipo_tienda","clasificacion_tienda","tipo_horario","horario","nombre_almacen","embozadora","atencion_feriados","grupo_campana","ubigeo","tienda_imagine","fecha_imagine","tipo_idseccion","active_controller","kiosko","latitud","longitud","metros_cuadrados","cod_sector_gt","asofdate","codpropositositio","descpropositositio","codclasificaciontienda","codtipohorario","codtipotienda","codgeoubicacion","usuariocreamodifi","fechacreamodifi","horacreamodifi","lote","cu_tienda","region_convenios","region_convnominas","plaza_convenios","zona_convenios","fecinformacion"
"53400","534","TF MINKA II","82000","Z2","Zona 2","","","","82100","TL","Tiendas Lima","Cerrada","20151130","20200430","AV. ARGENTINA N° 3093, LOCAL N° 109-110, AV. 03, PABELLON 09","CALLAO","CALLAO","CALLAO","Callao","5340300000","SBS 6597 - 2015","20141102","002-554","Alquilada","Tienda Financiera","Centro Comercial","Horario Extendido","L a V de 9:00am a 7:00pm / S de 9:00am a 2:00pm","TIENDA MINKA II","sin Embozadora","NO","Nació siendo Imagine","106","SI","19000101","T","1","1","-12.048352250000001","-77.110486649999999","206.69","43127","","","","","","","","","20210503","08:46:44.2470000",,"000534","Lima","","Zona Oeste","LIMA",
"73100","731","Tumbes","","","","72001","PPIU","Plaza Piura","98900","TP","Tiendas Provincia","Activa","20070711","","JR. BOLIVAR N? 139","TUMBES","TUMBES","TUMBES","Norte","7310300000","SBS 568-2007","20070511","002-372","Propia","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA TUMBES","sin Embozadora","NO","Normal","230101","NO","19000101","T","1","1","-3.5709581020000001","-80.460204610000005","329","4211I","","","","","","","","","20210503","08:46:44.2470000",,"000731","Norte","01 NORTE","","",
"59000","590","Cerro de Pasco","90403","R2","Región Centro","50001","PJUN","Plaza Junin","98900","TP","Tiendas Provincia","Activa","20031211","","CA. BOLOGNESI 476-478","CHAUPIMARCA","PASCO","PASCO","Centro","5900300000","SBS 1721-2003","20031211","002-080","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA CERRO DE PASCO","sin Embozadora","NO","Normal","180109","NO","19000101","T","0","","-10.667000379999999","-76.253577930000006","207.52000000000001","4222E","","","","","","","","","20210503","08:46:44.2470000",,"000590","Centro","03 SUR CENTRO","Junin","PROVINCIA",
"95600","956","","","","","","","","","","Tiendas provincia","Pendiente","19000101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"000956","Lima","","Sin Zona","PROVINCIA",
"72300","723","Talara","","","","72001","PPIU","Plaza Piura","98900","TP","Tiendas Provincia","Activa","20040615","","CENTRO CIVICO 101-200","PARIÑAS","TALARA","PIURA","Norte","7230300000","SBS 932-2004","20040615","002-013","Propia","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA TALARA","sin Embozadora","NO","Normal","190701","SI","20140830","T","1","1","-4.5792251720000001","-81.272473110000007","460.25","42123","","","","","","","","","20210503","08:46:44.2470000",,"000723","Norte","01 NORTE","","",
"48500","485","Petroperú","96200","Z5","Zona Moderna Oeste","","","","82100","TL","Tiendas Lima","Activa","20091018","","AV. ENRIQUE CANAVAL Y MOREYRA N° 510","SAN ISIDRO","LIMA","LIMA","Moderna 1","4850300000","SBS 11063-2009","20090818","002-462","Alquilada","Tienda Cerrada","Cerrada","Cerrada","L a V de 9:00am a 6:00pm","TIENDA PETROPERU","sin Embozadora","NO","Normal","140112","NO","19000101","T","0","","-12.097504989999999","-77.024619630000004","28","4321D","","","","","","","","","20210503","08:46:44.2470000",,"000485","Lima","00 LIMA","Zona Moderna Oeste","LIMA",
"84400","844","","","","","","","","","","Tiendas provincia","Pendiente","19000101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"000844","Lima","00 LIMA","Sin Zona","PROVINCIA",
"46000","460","MM Moquegua","90405","R3","Región Sur","34001","PTCQ","Plaza Tacna","98900","TP","Tiendas Provincia","Cerrada","20151106","20191130","AV. CIRCUNVALACION LOTE 1-B, SUB LOTE 1, FUNDO EL GRAMADAL","MOQUEGUA","MARISCAL NIETO","MOQUEGUA","Sur","4600300000","SBS 6396 - 2015","20151023","002-559","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM MOQUEGUA","sin Embozadora","","Nació siendo Imagine","170101","SI","19000101","T","0","","-17.188692100000001","-70.921659399999996","64","4323K","","","","","","","","","20210503","08:46:44.2470000",,"000460","Sur","","Moquegua","PROVINCIA",
"44700","447","","","","","","","","","","Tiendas provincia","Pendiente","19000101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"000447","00 LIMA","00 LIMA","LIMA","PROVINCIA",
"36700","367","Nazca","90405","R3","Región Sur","40001","PICA","Plaza Ica","98900","TP","Tiendas Provincia","Activa","20121210","","CALLE BOLOGNESI N° 590","NAZCA","NAZCA","ICA","Centro","3670300000","SBS 8058 - 2012","20121019","002-518","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA NAZCA","sin Embozadora","NO","Normal","100301","SI","20130807","T","1","1","-14.827968","-74.936835000000002","308.69999999999999","4221I","","","","","","","","","20210503","08:46:44.2470000",,"000367","Sur","03 SUR CENTRO","Ica","PROVINCIA",
