"num_ciiuv4","desc_seccion","desc_propuesta","desc_v2","desc_sector_01","p_fecinformacion"
"2720","Industrias manufactureras","INDUSTRIA","Fabricación de pilas, baterías y acumuladores","Industria","20260128"
"2731","Industrias manufactureras","INDUSTRIA","Fabricación de cables de fibra óptica","Industria","20260128"
"2732","Industrias manufactureras","INDUSTRIA","Fabricación de otros hilos y cables eléctricos","Industria","20260128"
"2733","Industrias manufactureras","INDUSTRIA","Fabricación de dispositivos de cableado","Industria","20260128"
"2740","Industrias manufactureras","INDUSTRIA","Fabricación de equipo eléctrico de iluminación","Industria","20260128"
"2750","Industrias manufactureras","INDUSTRIA","Fabricación de aparatos de uso doméstico","Industria","20260128"
"2790","Industrias manufactureras","INDUSTRIA","Fabricación de otros tipos de equipo eléctrico","Industria","20260128"
"2811","Industrias manufactureras","INDUSTRIA","Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas","Industria","20260128"
"2812","Industrias manufactureras","INDUSTRIA","Fabricación de equipo de propulsión de fluidos","Industria","20260128"
"2813","Industrias manufactureras","INDUSTRIA","Fabricación de otras bombas, compresores, grifos y válvulas","Industria","20260128"
"2814","Industrias manufactureras","INDUSTRIA","Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión","Industria","20260128"
"2815","Industrias manufactureras","INDUSTRIA","Fabricación de hornos, hogares y quemadores","Industria","20260128"
"2816","Industrias manufactureras","INDUSTRIA","Fabricación de equipo de elevación y manipulación","Industria","20260128"
"2817","Industrias manufactureras","INDUSTRIA","Fabricación de maquinaria y equipo de oficina (excepto ordenadores y equipo periférico)","Industria","20260128"
"2818","Industrias manufactureras","INDUSTRIA","Fabricación de herramientas de mano motorizadas","Industria","20260128"
"2819","Industrias manufactureras","INDUSTRIA","Fabricación de otros tipos de maquinaria de uso general","Industria","20260128"
"2821","Industrias manufactureras","INDUSTRIA","Fabricación de maquinaria agropecuaria y forestal","Industria","20260128"
"2822","Industrias manufactureras","INDUSTRIA","Fabricación de maquinaria para la conformación de metales y de máquinas herramienta","Industria","20260128"
"2823","Industrias manufactureras","INDUSTRIA","Fabricación de maquinaria metalúrgica","Industria","20260128"
"2824","Industrias manufactureras","INDUSTRIA","Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción","Industria","20260128"
"2825","Industrias manufactureras","INDUSTRIA","Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco","Industria","20260128"
"2826","Industrias manufactureras","INDUSTRIA","Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros","Industria","20260128"
"2829","Industrias manufactureras","INDUSTRIA","Fabricación de otros tipos de maquinaria de uso especial","Industria","20260128"
"2910","Industrias manufactureras","INDUSTRIA","Fabricación de vehículos automotores","Industria","20260128"
"2920"," FABRICACION de remolques y semirremolques"," FABRICACION de remolques y semirremolques","Fabricación de carrocerías para vehículos automotores","Industria","20260128"
"2930","Industrias manufactureras","INDUSTRIA","Fabricación de partes, piezas y accesorios para vehículos automotores","Industria","20260128"
"3011","Industrias manufactureras","INDUSTRIA","Construcción de buques y estructuras flotantes","Industria","20260128"
"3012","Industrias manufactureras","INDUSTRIA","Construcción de embarcaciones de recreo y de deporte","Industria","20260128"
"3020","Industrias manufactureras","INDUSTRIA","Fabricación de locomotoras y material rodante","Industria","20260128"
"3030","Industrias manufactureras","INDUSTRIA","Fabricación de aeronaves, naves espaciales y maquinaria conexa","Industria","20260128"
"3040","Industrias manufactureras","INDUSTRIA","Fabricación de vehículos militares de combate","Industria","20260128"
"3091","Industrias manufactureras","INDUSTRIA","Fabricación de motocicletas","Industria","20260128"
"3092","Industrias manufactureras","INDUSTRIA","Fabricación de bicicletas y de sillones de ruedas para inválidos","Industria","20260128"
"3099","Industrias manufactureras","INDUSTRIA","Fabricación de otros tipos de equipo de transporte n.c.p.","Industria","20260128"
"3100","Industrias manufactureras","INDUSTRIA","Fabricación de muebles","Industria","20260128"
"3211","Industrias manufactureras","INDUSTRIA","Fabricación de joyas y artículos conexos","Industria","20260128"
"3212","Industrias manufactureras","INDUSTRIA","Fabricación de bisutería y artículos conexos","Industria","20260128"
"3220","Industrias manufactureras","INDUSTRIA","Fabricación de instrumentos de música","Industria","20260128"
"3230","Industrias manufactureras","INDUSTRIA","Fabricación de artículos de deporte","Industria","20260128"
"3240","Industrias manufactureras","INDUSTRIA","Fabricación de juegos y juguetes","Industria","20260128"
"3250","Industrias manufactureras","INDUSTRIA","Fabricación de instrumentos y materiales médicos y odontológicos","Industria","20260128"
"3290","Industrias manufactureras","INDUSTRIA","Otras industrias manufactureras n.c.p.","Industria","20260128"
